ID,Brand,Tipe,CPU,RAM,Memori,GPU,SistemOperasi,Berat,Layar,Harga
301,Vivid,Notebook,Intel Core i5 7200U 2.5GHz,6GB,256GB SSD,Nvidia GeForce 940MX,Gemini 5,1.58kg,14.0inch IPS Panel Full HD 1920x1080,11289988.0
302,Vivid,Notebook,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Intel UHD Graphics 620,Gemini 5,1.63kg,14.0inch Full HD 1920x1080,13911184.0
303,Stellar,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,2kg,14.0inch Full HD 1920x1080,16189740.0
304,Eclipse,Ultrabook,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,1.88kg,15.6inch IPS Panel Full HD 1920x1080,18779413.12
305,Galaxy,Gaming,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,2.2kg,15.6inch IPS Panel Full HD 1920x1080,14373748.0
306,Vivid,Notebook,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Gemini 5,1.95kg,14.0inch 1366x768,19684668.0
307,Stellar,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,41956268.0
308,Eclipse,2 in 1 Convertible,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Gemini 5,1.62kg,13.3inch Full HD / Touchscreen 1920x1080,21911828.0
309,Pulse,2 in 1 Convertible,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,Gemini 5,1.19kg,13.3inch IPS Panel Full HD / Touchscreen 1920x1080,25680868.0
310,Epic,Notebook,Intel Atom X5-Z8350 1.44GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,Gemini 5,1.45kg,14.0inch 1366x768,3611425.6
311,Vivid,Workstation,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M1200,Gemini 5,2.6kg,15.6inch Full HD 1920x1080,29780041.64
312,Zenith,Notebook,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Penguin OS,2.4kg,15.6inch Full HD 1920x1080,13345828.0
313,Stellar,Ultrabook,Intel Core M 6Y30 0.9GHz,8GB,512GB SSD,Intel HD Graphics 515,Gemini 5,1.2kg,13.3inch IPS Panel Full HD 1920x1080,12489228.0
314,Zenith,Ultrabook,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,1.6kg,14.0inch IPS Panel Full HD 1920x1080,15144688.0
315,Pulse,Notebook,AMD E-Series E2-9000 2.2GHz,4GB,128GB SSD,AMD Radeon R2 Graphics,Gemini 5,2.2kg,15.6inch 1366x768,5979068.0
316,Pulse,Ultrabook,Intel Core i5 6200U 2.3GHz,8GB,180GB SSD,Intel HD Graphics 520,Gemini 5,1.3kg,12.5inch IPS Panel 1366x768,18828068.0
317,Eclipse,Ultrabook,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 2,1.5kg,12.5inch 1366x768,24209229.2
318,Pulse,Notebook,AMD A6-Series 7310 2GHz,4GB,500GB HDD,AMD Radeon R4,Gemini 5,2.19kg,15.6inch 1366x768,5105336.0
319,Pulse,2 in 1 Convertible,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.37kg,13.3inch IPS Panel Full HD / Touchscreen 1920x1080,23967668.0
320,Zenith,Notebook,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Gemini 5,2.1kg,15.6inch 1366x768,7658004.0
321,Vivid,Notebook,Intel Atom Z8350 1.92GHz,4GB,32GB HDD,Intel HD Graphics 400,Gemini 5,1.4kg,14.0inch IPS Panel Full HD 1920x1200,4539980.0
322,Vivid,Workstation,,8GB,8GB SSD,Nvidia Quadro M1000M,Gemini 5,2.0kg,15.6inch IPS Panel Full HD 1920x1080,38529868.0
323,Vivid,Notebook,,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,1.84kg,15.6inch Full HD 1920x1080,21055056.68
324,Eclipse,2 in 1 Convertible,Intel Core i7 7Y75 1.3GHz,16GB,256GB SSD,Intel HD Graphics 615,Gemini 5,1.22kg,13.3inch Full HD / Touchscreen 1920x1080,28250668.0
325,Pulse,,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,2.5kg,15.6inch IPS Panel Full HD 1920x1080,20369948.0
326,Vivid,Notebook,,4GB,500GB HDD,Intel HD Graphics 620,No OS,1.86kg,15.6inch 1366x768,6748294.8
327,Pulse,,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,,Gemini 5,1.44kg,14.0inch 1366x768,4265868.0
328,Vivid,Notebook,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 930MX,Gemini 5,2.63kg,17.3inch Full HD 1920x1080,20558400.0
329,Pulse,Notebook,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,2.2kg,15.6inch Full HD 1920x1080,11290159.32
330,Pulse,Notebook,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 505,Gemini 5,2.2kg,15.6inch 1366x768,5293788.0
331,Zenith,Notebook,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Gemini 5,2.1kg,15.6inch 1366x768,7692268.0
332,Stellar,Notebook,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 505,Gemini 5,2kg,15.6inch 1366x768,7692268.0
333,Zenith,,,4GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,2.2kg,15.6inch IPS Panel Full HD 1920x1080,11684024.0
334,Stellar,Notebook,,4GB,256GB SSD,Intel HD Graphics 620,Penguin OS,2kg,15.6inch Full HD 1920x1080,9576788.0
335,Pulse,Notebook,Intel Core i3 6006U 2GHz,,1TB HDD,Intel HD Graphics 520,Gemini 5,2.8kg,17.3inch 1600x900,8377548.0
336,Pulse,Notebook,Intel Celeron Quad Core N3160 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 400,RamEater OS,1.5kg,14.0inch 1366x768,5567900.0
337,Pulse,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050M,Gemini 5,2.5kg,15.6inch IPS Panel Full HD 1920x1080,18999388.0
338,Zenith,Notebook,AMD A10-Series 9620P 2.5GHz,8GB,1TB HDD,AMD Radeon RX 540,Gemini 5,2.2kg,15.6inch 1366x768,9919428.0
339,Vivid,Notebook,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.64kg,14.0inch 1366x768,16669436.0
340,Pulse,Notebook,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Nvidia GeForce 920MX ,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,8017776.0
341,Eclipse,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,1.0TB Hybrid,Nvidia GeForce GTX 1050,,2.62kg,15.6inch Full HD 1920x1080,15401668.0
342,Vivid,2 in 1 Convertible,Intel Core i7 6600U 2.6GHz,8GB,512GB SSD,Intel HD Graphics 520,Gemini 5,1.48kg,13.3inch Touchscreen 2560x1440,34966412.0
343,Zenith,Notebook,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Gemini 5,2.23kg,15.6inch 1366x768,10604708.0
344,Quantum,Ultrabook,Intel Core i5 3.1GHz,8GB,512GB SSD,Intel Iris Plus Graphics 650,Orange OS,1.37kg,13.3inch IPS Panel Retina Display 2560x1600,34949280.0
345,Vivid,Ultrabook,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.26kg,12.5inch 1366x768,26708788.0
346,Vivid,Notebook,Intel Core i7 7500U 2.7GHz,6GB,1TB HDD,Intel HD Graphics 620,Gemini 5,2.04kg,15.6inch 1366x768,9919428.0
347,Pulse,Ultrabook,Intel Core i7 7500U 2.7GHz,24GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.32kg,14.0inch 2560x1440,40808424.0
348,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Gemini 5,2.3kg,15.6inch IPS Panel Full HD 1920x1080,17337412.68
349,Eclipse,Notebook,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,Gemini 5,2.16kg,15.6inch IPS Panel Full HD 1920x1080,19364813.56
350,Stellar,Notebook,AMD A10-Series A10-9620P 2.5GHz,4GB,128GB SSD +  1TB HDD,AMD Radeon R5 M430,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,9850900.0
351,Eclipse,Gaming,Intel Core i7 6820HK 2.7GHz,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1080,Gemini 5,4.36kg,17.3inch 2560x1440,47250056.0
352,Galaxy,Gaming,Intel Core i7 6700HQ 2.6GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 970M,Gemini 5,1.7kg,14.0inch Full HD 1920x1080,30306508.0
353,Traverse,Ultrabook,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Intel HD Graphics 520,Gemini 5,1.36kg,13.3inch Full HD / Touchscreen 1920x1080,32156764.0
354,Pulse,Notebook,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Gemini 5,2.1kg,15.6inch 1366x768,9251280.0
355,Eclipse,Notebook,,4GB,500GB HDD,Intel HD Graphics 520,Gemini 2,2.24kg,15.6inch 1366x768,12626284.0
356,Vivid,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,1.29kg,13.3inch IPS Panel 4K Ultra HD / Touchscreen 3840x2160,25680868.0
357,Eclipse,Notebook,Intel Core i7 7500U 2.7GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Gemini 5,2.0kg,15.6inch Full HD 1920x1080,20678324.0
358,Eclipse,Notebook,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,AMD Radeon R5 M430,,2.3kg,15.6inch Full HD 1920x1080,10947348.0
359,Eclipse,Notebook,,16GB,512GB SSD,,Gemini 5,2.06kg,15.6inch 4K Ultra HD / Touchscreen 3840x2160,41065404.0
360,Vivid,Notebook,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Gemini 5,2.5kg,17.3inch Full HD 1920x1080,16737964.0
361,Vivid,Notebook,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.32kg,13.3inch IPS Panel Full HD 1920x1080,11975268.0
362,Vivid,Ultrabook,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.34kg,13.3inch IPS Panel Quad HD+ 3200x1800,19616140.0
363,Eclipse,Ultrabook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.29kg,13.3inch Full HD 1920x1080,25680868.0
364,Pulse,2 in 1 Convertible,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.42kg,14.0inch Touchscreen 2560x1440,42984188.0
365,Eclipse,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Gemini 5,4.42kg,17.3inch IPS Panel Full HD 1920x1080,51614775.64
366,Vivid,Notebook,Intel Core i3 6006U 2GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,1.86kg,15.6inch Full HD 1920x1080,9234148.0
367,Traverse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,,Gemini 5,2.0kg,15.6inch 1366x768,13585676.0
368,Pulse,Notebook,Intel Core i7 6820HQ 2.7GHz,16GB,512GB SSD,Nvidia Quadro 3000M,Gemini 2,2.4kg,17.3inch IPS Panel 4K Ultra HD 3840x2160,50847776.0
369,Vivid,Notebook,AMD A9-Series A9-9420 3GHz,6GB,128GB SSD +  1TB HDD,AMD Radeon 520,Gemini 5,2.1kg,15.6inch Full HD 1920x1080,11135800.0
370,Quantum,Ultrabook,Intel Core i5 1.6GHz,8GB,256GB Flash Storage,,Orange OS X,1.35kg,13.3inch 1440x900,17097736.0
371,Vivid,2 in 1 Convertible,,4GB,32GB Flash Storage,Intel HD Graphics 500,RamEater OS,1.4kg,11.6inch Touchscreen 1366x768,10536180.0
372,Quantum,Ultrabook,Intel Core i5 2.9GHz,8GB,512GB SSD,Intel Iris Graphics 550,Orange OS,1.37kg,13.3inch IPS Panel Retina Display 2560x1600,33559874.800000004
373,Zenith,Notebook,Intel Celeron Dual Core 3855U 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics 510,RamEater OS,1.45kg,14.0inch 1366x768,6424500.0
374,Eclipse,Notebook,Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,,Penguin OS,2.2kg,15.6inch 1366x768,4709586.8
375,Traverse,Ultrabook,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,1.2kg,13.3inch Full HD 1920x1080,27239880.0
376,Vivid,Notebook,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R2,Gemini 5,2.1kg,15.6inch Full HD 1920x1080,5979068.0
377,Whiz,Notebook,Intel Celeron Quad Core N3450 1.1GHz,6GB,64GB Flash Storage,Intel HD Graphics 500,Gemini 5,1.4kg,12.3inch IPS Panel Retina Display 2736x1824,7692268.0
378,Eclipse,,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Gemini 5,2.8kg,17.3inch Full HD 1920x1080,18588220.0
379,Cosmo,Ultrabook,,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,0.81kg,13.3inch Full HD 1920x1080,25680868.0
380,Vivid,Ultrabook,Intel Core i5 7500U 2.7GHz,4GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.48kg,14.0inch Full HD 1920x1080,18536824.0
381,Pulse,Ultrabook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.32kg,14.0inch IPS Panel Full HD 1920x1080,30820468.0
382,Stellar,Notebook,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Gemini 5,1.65kg,14.1inch 1366x768,5961936.0
383,Vivid,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.49kg,13.3inch Full HD 1920x1080,16446720.0
384,Vivid,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,2.2kg,15.6inch IPS Panel Full HD 1920x1080,18828068.0
385,Celestial,Ultrabook,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.05kg,13.0inch IPS Panel Full HD 2160x1440,25680868.0
386,Stellar,Ultrabook,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050 Ti,Gemini 5,1.8kg,15.6inch Full HD 1920x1080,33972756.0
387,Pulse,2 in 1 Convertible,,4GB,128GB SSD,Intel HD Graphics 520,Gemini 5,1.8kg,14.0inch Full HD / Touchscreen 1920x1080,14271127.32
388,Pulse,Netbook,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB SSD,,Gemini 5,1.4kg,11.6inch Touchscreen 1366x768,8137700.0
389,Eclipse,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,2.62kg,15.6inch Full HD 1920x1080,18828068.0
390,Pulse,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,3.2kg,15.6inch IPS Panel Full HD 1920x1080,29963868.0
391,Eclipse,2 in 1 Convertible,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,,Gemini 5,1.71kg,13.3inch Full HD / Touchscreen 1920x1080,11118668.0
392,Whiz,Notebook,,4GB,64GB Flash Storage,Intel HD Graphics,Gemini 5,1.89kg,15.6inch Full HD 1920x1080,4264154.8
393,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.7kg,14.0inch Full HD 1920x1080,11975268.0
394,Stellar,Gaming,,8GB,1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,16258268.0
395,Stellar,Notebook,Intel Core i7 6500U 2.5GHz,4GB,500GB HDD,Nvidia GeForce 920M,Gemini 5,2.2kg,15.6inch 1366x768,12340522.24
396,Eclipse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMD Radeon R7 M445,Gemini 5,2.5kg,15.6inch 1366x768,13431488.0
397,Pulse,Notebook,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,No OS,2.1kg,15.6inch 1366x768,6818536.0
398,Eclipse,Gaming,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Gemini 5,2.72kg,15.6inch IPS Panel Touchscreen / 4K Ultra HD 3840x2160,18828068.0
399,Pulse,Ultrabook,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.36kg,12.5inch IPS Panel Full HD 1920x1080,30803336.0
400,Pulse,2 in 1 Convertible,,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.7kg,14.0inch Full HD / Touchscreen 1920x1080,17114868.0
401,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,,1TB HDD,Intel HD Graphics 620,No OS,2.8kg,17.3inch 1600x900,9234148.0
402,Vivid,Notebook,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Intel HD Graphics 520,Gemini 5,2.65kg,17.3inch 1600x900,9322377.8
403,Eclipse,Ultrabook,Intel Core i7 6600U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,1.5kg,14.0inch Touchscreen 2560x1440,33629773.36
404,Cosmo,,,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,2.5kg,15.6inch Full HD 1920x1080,29107268.0
405,Vivid,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.84kg,15.6inch Full HD 1920x1080,19599008.0
406,Stellar,Notebook,Intel Pentium Dual Core N4200 1.1GHz,8GB,128GB SSD,Intel HD Graphics 505,Gemini 5,2kg,15.6inch 1920x1080,9969110.8
407,Stellar,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,2.9kg,17.3inch Full HD 1920x1080,24104724.0
408,Eclipse,Notebook,,8GB,1TB HDD,Intel HD Graphics 520,Gemini 5,1.62kg,13.3inch Full HD / Touchscreen 1920x1080,11118668.0
409,Pulse,Notebook,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 630,Gemini 5,1.95kg,15.6inch IPS Panel Full HD 1920x1080,18793804.0
410,Puzzle,Ultrabook,Intel Core i7 7Y75 1.3GHz,,512GB SSD,Intel HD Graphics 615,RamEater OS,1.1kg,12.3inch Touchscreen 2400x1600,37673268.0
411,Eclipse,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,Nvidia GeForce 150MX,Gemini 5,2.77kg,17.3inch Full HD / Touchscreen 1920x1080,17114868.0
412,Galaxy,,Intel Core i7 6920HQ 2.9GHz,32GB,512GB SSD +  1TB HDD,Nvidia GTX 980 SLI,Gemini 5,4.4kg,18.4inch Full HD 1920x1080,47952468.0
413,Pulse,Notebook,Intel Core i7 6700HQ 2.6GHz,8GB,1TB HDD,Nvidia GeForce GTX 960M,Gemini 5,2.6kg,15.6inch IPS Panel Full HD 1920x1080,15401668.0
414,Vivid,Ultrabook,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel HD Graphics 620,,1.91kg,15.6inch Full HD 1920x1080,11289988.0
415,Vivid,Notebook,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel HD Graphics 620,Gemini 5,2.1kg,15.6inch IPS Panel Full HD 1920x1080,12369304.0
416,Vivid,Netbook,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Intel HD Graphics 520,Gemini 2,2.4kg,12.5inch 1366x768,27394068.0
417,Eclipse,Ultrabook,Intel Core i7 7500U 2.7GHz,16GB,1TB SSD,Intel HD Graphics 620,Gemini 5,1.2kg,13.3inch Quad HD+ / Touchscreen 3200x1800,38615528.0
418,Eclipse,Notebook,Intel Core i7 7500U 2.7GHz,,1TB HDD,Nvidia GeForce GT 940MX,Gemini 5,1.98kg,15.6inch Full HD 1920x1080,16463852.0
419,Pulse,Notebook,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Nvidia GeForce 920MX,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,15401668.0
420,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Gemini 5,1.9kg,15.6inch Full HD 1920x1080,9405468.0
421,Zenith,Notebook,Intel Core i7 7500U 2.7GHz,4GB,500GB HDD,Nvidia GeForce 940MX,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,10947348.0
422,Pulse,Notebook,,8GB,1TB HDD,AMD Radeon R5 M330,No OS,2.32kg,15.6inch Full HD 1920x1080,10262068.0
423,Pulse,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,,Gemini 5,2.5kg,15.6inch IPS Panel Full HD 1920x1080,17954336.0
424,Eclipse,Workstation,Intel Xeon E3-1505M V6 3GHz,8GB,64GB Flash Storage +  1TB HDD,Nvidia Quadro M620,Gemini 5,2.23kg,15.6inch Full HD 1920x1080,34144076.0
425,Eclipse,2 in 1 Convertible,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,1.56kg,15.6inch Full HD / Touchscreen 1920x1080,17971468.0
426,Galaxy,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,2.4kg,15.6inch Full HD 1920x1080,22168808.0
427,Eclipse,Notebook,,8GB,256GB SSD,AMD Radeon R5 M430,Penguin OS,2.2kg,15.6inch Full HD 1920x1080,12832039.32
428,Pulse,Notebook,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 550,Gemini 5,2.1kg,15.6inch IPS Panel Full HD 1920x1080,19607574.0
429,Vivid,Notebook,Intel Atom x5-Z8350 1.44GHz,2GB,32GB Flash Storage,Intel HD Graphics,Gemini 5,1.4kg,14.0inch Full HD 1920x1080,4094548.0
430,Eclipse,Ultrabook,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.29kg,13.3inch Quad HD+ / Touchscreen 3200x1800,25303964.0
431,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Intel HD Graphics 620,No OS,2.2kg,15.6inch Full HD 1920x1080,8891508.0
432,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,No OS,1.9kg,15.6inch 1366x768,8392966.799999999
433,Zenith,Notebook,Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,Intel HD Graphics 400,Penguin OS,2.4kg,15.6inch 1366x768,4951148.0
434,Galaxy,Gaming,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,19186298.12
435,Eclipse,Notebook,,2GB,500GB HDD,Intel HD Graphics,Gemini 5,2.20kg,15.6inch 1366x768,6493028.0
436,Vivid,Notebook,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,,Gemini 5,1.48kg,14.0inch Full HD 1920x1080,22134544.0
437,Vivid,Notebook,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Nvidia GeForce 930MX,,2.5kg,17.3inch IPS Panel Full HD 1920x1080,15658648.0
438,Galaxy,Gaming,Intel Core i7 6700HQ 2.6GHz,16GB,512GB SSD +  2TB HDD,Nvidia GeForce GTX 1060,Gemini 5,2.43kg,17.3inch IPS Panel 4K Ultra HD 3840x2160,45382668.0
439,Vivid,2 in 1 Convertible,Intel Core i7 8550U 1.8GHz,16GB,1TB SSD,Intel UHD Graphics 620,Gemini 5,1.29kg,13.3inch IPS Panel 4K Ultra HD / Touchscreen 3840x2160,41956268.0
440,Galaxy,Gaming,Intel Core i7 6700HQ 2.6GHz,8GB,256GB SSD,Nvidia GeForce GTX 965M,Gemini 5,2.6kg,17.3inch Full HD 1920x1080,27394068.0
441,Traverse,Notebook,Intel Core i7 6500U 2.5GHz,16GB,256GB SSD,Nvidia GeForce 930M,Gemini 5,2.4kg,15.6inch IPS Panel Full HD 1920x1080,24413100.0
442,Eclipse,Gaming,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1060,Gemini 5,2.65kg,15.6inch Full HD 1920x1080,20472740.0
443,Galaxy,Gaming,Intel Core i7 6700HQ 2.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Gemini 5,2.9kg,17.3inch Full HD 1920x1080,25889707.08
444,Vivid,Ultrabook,Intel Core M 6Y75 1.2GHz,8GB,240GB SSD,Intel HD Graphics 515,Gemini 5,1.09kg,12.5inch 4K Ultra HD / Touchscreen 3840x2160,53109200.0
445,Vivid,Notebook,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,No OS,2.1kg,15.6inch 1366x768,8171792.68
446,Eclipse,Notebook,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,AMD Radeon R5 M420,Penguin OS,2.18kg,15.6inch Full HD 1920x1080,9748108.0
447,Vivid,Notebook,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,,1.88kg,15.6inch Full HD 1920x1080,27051428.0
448,Eclipse,Notebook,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 520,,2.13kg,15.6inch Full HD 1920x1080,13153949.6
449,Stellar,Gaming,AMD Ryzen 1700 3GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Gemini 5,3.2kg,17.3inch Full HD 1920x1080,22254468.0
450,Stellar,2 in 1 Convertible,Intel Core M M3-6Y30 0.9GHz,4GB,64GB Flash Storage,Intel HD Graphics 515,RamEater OS,1.2kg,12.5inch Full HD / Touchscreen 1920x1080,11461308.0
451,Stellar,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Gemini 5,2.9kg,17.3inch Full HD 1920x1080,36354104.0
452,Pulse,2 in 1 Convertible,Intel Core i7 6600U 2.6GHz,16GB,512GB SSD,,Gemini 5,1.36kg,14.0inch Touchscreen 2560x1440,42812868.0
